course_number,course_name,credits,description,term,instructor,class time,availability,prerequisites,career tags,instruction mode
CSCI-B 441,DIGITAL DESIGN,3.0,"Organization and logic design of digital systems. Course presents a structured design philosophy, emphasizing hardwired and micro-programmed control. Boolean algebra, hardware building blocks, circuit synthesis, micro-programming. In the laboratory students build, study, and debug a working minicomputer from elementary hardware components.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,5,[],['Technology Generalist'],Hybrid
CSCI-B 443,INTRODUCTION TO COMPUTER ARCHITECTURE,3.0,"Principles of processors, control units, and storage systems. Registers, buses, microprogramming, virtual storage. Relationship between computer architecture and system software.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,8,[],['Technology Generalist'],Online
CSCI-B 453,GAME DEVELOPMENT,3.0,"By taking this course, students gain high competence developing games using current game engines (e.g., Unity), and have exposure to advanced topics including shader creation, SpatialOS, procedural content generation, and/or creating dynamic UIs or AIs for games.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MWF 9:00AM–10:15AM,8,[],['Technology Generalist'],Online
CSCI-B 455,PRINCIPLES OF MACHINE LEARNING,3.0,"In this course, we explore (machine learning) algorithms that can learn from and make predictions on data. This course introduces the statistical, mathematical, and computational foundations of these frameworks, with a strong focus on understanding the mathematical derivations for the algorithms and simultaneously implementing the algorithms.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,1,[],['Technology Generalist'],Hybrid
CSCI-B 456,IMAGE PROCESSING,3.0,"The course emphasizes the general principles of image processing which includes data structures, algorithms, and analysis and modeling techniques used in modern imaging systems, digital image processing, and low-level computer vision. Topics include image sources, computer representation of images and formats, operations on images, and image analysis.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MWF 9:00AM–10:15AM,0,[],['Technology Generalist'],Hybrid
CSCI-B 457,INTRODUCTION TO COMPUTER VISION,3.0,"In this course, the students will learn fundamental computer vision algorithms as well as basic machine learning frameworks necessary for automated understanding of images and videos. Topics will include object recognition from images, activity/event recognition from videos, scene segmentation and clustering, motion and tracking, deep learning for images and videos.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MW 3:00PM–4:15PM,10,[],['Technology Generalist'],Hybrid
CSCI-B 461,DATABASE CONCEPTS,3.0,"Introduction to database concepts and systems. Topics include database models and systems; hierarchal, network, relational, and object-oriented; database design principles; structures for efficient data access; query languages and processing; database applications development; views; security; concurrency; recovery. Students participate in a project to design, implement, and query a database using a standard database system.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MWF 9:00AM–10:15AM,1,[],"['Data Analyst', 'Data Scientist']",Hybrid
CSCI-B 481,INTERACTIVE GRAPHICS,4.0,"Computer graphics techniques. Introduction to graphics hardware and software. Two-dimensional graphics methods, transformations, and interactive methods. Three-dimensional graphics, transformations, viewing geometry, object modeling, and interactive manipulation methods. Basic lighting and shading. Video and animation methods.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,6,[],['Technology Generalist'],Hybrid
CSCI-B 490,SEMINAR IN COMPUTER SCIENCE,1.0,"Special topics in computer science.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,3,[],['Technology Generalist'],Online
CSCI-B 501,THEORY OF COMPUTING,3.0,"Deterministic and nondeterministic automata, regular expressions, pumping lemmas; context-free languages, parsing, pushdown automata, context-sensitive languages, LBA, LR(k) languages, closure and decidability of language classes. Turing machines, random access machines, grammars, general recursive functions, equivalence of computation models, universal machines, relative computing. Unsolvability, semi-recursive sets, Rice's Theorem. Space and time complexity. NP completeness.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,3,[],"['IT Support Specialist', 'Tech Consultant']",Online
CSCI-B 502,COMPUTATIONAL COMPLEXITY,3.0,"Study of computational complexity classes, their intrinsic properties, and relations between them. Topics include time and space computational complexity, reducibility and completeness of problems within complexity classes, complexity of optimization problems, complexity hierarchies, relativization of the P=?NP conjecture, and parallel computation models and the class NC.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,TR 1:00PM–2:15PM,2,[],['Technology Generalist'],Hybrid
CSCI-B 503,ALGORITHMS DESIGN AND ANALYSIS,3.0,"Models, algorithms, recurrences, summations, growth rates. Probabilistic tools, upper and lower bounds; worst-case and average-case analysis, amortized analysis, dynamization. Comparison-based algorithms: search, selection, sorting, hashing. Information extraction algorithms (graphs, databases). Graphs algorithms: spanning trees, shortest paths, connectivity, depth-first search, breadth-first search.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,9,[],['Technology Generalist'],Online
CSCI-B 505,APPLIED ALGORITHMS,3.0,"The course studies the design, implementation, and analysis of algorithms and data structures as applied to real world problems. The topics include divide-and-conquer, optimization, and randomized algorithms applied to problems such as sorting, searching, and graph analysis. The course teaches trees, hash tables, heaps, and graphs.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MWF 9:00AM–10:15AM,7,[],['Technology Generalist'],Online
CSCI-B 510,INTRODUCTION TO APPLIED LOGIC,3.0,"Structures: relations between structures, term structures. Description: notation and meaning, substitution operations, first order formulas, database languages, program verification conditions, semantics valuation, normal forms, quantifier reduction, axiomatic theories. Proof: resolution, sequential calculi, natural deduction, automated theorem proving, semantic completeness. Limits of formalization: compactness, undecidability of canonical theories, non-formalizability of database theory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,3,[],['Technology Generalist'],Online
CSCI-B 521,PROGRAMMING LANGUAGE PRINCIPLES,3.0,"Systematic approach to programming languages. Relationships among languages, properties and features of languages, the computer environment necessary to support language execution.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,3,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-B 522,PROGRAMMING LANGUAGE FOUNDATIONS,3.0,"Introduction to denotational, operational, and axiomatic approaches to programming language semantics. Semantic analysis of major programming language features. Logics of programs.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,3,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-B 534,DISTRIBUTED SYSTEMS,3.0,"B534 is a balanced treatment of fundamentals and practice of distributed systems. The foundational models, algorithms, and principles upon which distributed systems are based are studied in detail. These fundamentals are placed in the context of practical implementations by means of reading and critical analysis of research papers.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,2,[],['Technology Generalist'],In Person
CSCI-B 541,HARDWARE SYSTEM DESIGN I,3.0,"Structured approach to hardware design, exposing performance factors as well as target technologies and their influence on the design process. Basic training in the use of design and simulation software. Lecture and laboratory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,8,[],['Technology Generalist'],In Person
CSCI-B 544,SECURITY FOR NETWORKED SYSTEMS,3.0,"This course is an extensive survey of system and network security. Course materials cover the threats to information confidentiality, integrity and availability and the defense mechanisms that control such threats. The course provides the foundation for more advanced security courses and hands-on experiences through course projects.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,TR 1:00PM–2:15PM,9,[],['Technology Generalist'],In Person
CSCI-B 546,MALWARE EPIDEMIC: THREAT AND DEFENSE,3.0,"This course looks at systems and protocols, how to design threat models for them and how to use a large number of current security technologies and concepts to block specific vulnerabilities. Students will use a large number of systems and programming security tools in the laboratories.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,10,[],['Technology Generalist'],Online
CSCI-B 547,SYSTEMS AND PROTOCOL SECURITY AND INFORMATION ASSURANCE,3.0,"This course covers the design and analysis of secure systems, including identifying security goals and risks, threat modeling, defense, integrating different technologies to achieve security goals, developing security protocols and policies, implementing security protocols and secure coding. Some real world scenarios that have many security requirements will be studied.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MW 3:00PM–4:15PM,10,[],['Technology Generalist'],Hybrid
CSCI-B 551,ELEMENTS OF ARTIFICIAL INTELLIGENCE,3.0,"Introduction to major issues and approaches in artificial intelligence. Principles of reactive, goal-based, and utility-based agents. Problem-solving and search. Knowledge representation and design of representational vocabularies. Inference and theorem proving, reasoning under uncertainty, planning. Overview of machine learning.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],Hybrid
CSCI-B 552,KNOWLEDGE BASED ARTIFICIAL INTELLIGENCE,3.0,"Knowledge-based methods for artificial intelligence systems: knowledge representation, organization, and application. Typical content includes: principles of memory organization, indexing and retrieval. Memory-based, analogical, and case-based reasoning. Applications to understanding, explanation, planning, and advisory systems.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,8,[],['Technology Generalist'],In Person
CSCI-B 555,MACHINE LEARNING,3.0,"Theory and practice of constructing algorithms that learn functions and choose optimal decisions from data and knowledge. Topics include: mathematical/probabilistic foundations, MAP classification/regression, linear and logistic regression, neural networks, support vector machines, Bayesian networks, tree models, committee machines, kernel functions, EM, density estimation, accuracy estimation, normalization, model selection.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,MWF 9:00AM–10:15AM,6,[],['Technology Generalist'],In Person
CSCI-B 557,MUSIC INFORMATION PROCESSING: AUDIO,3.0,"This course discusses music analysis and processing problems that use sampled audio as the primary data representation. Digital signal processing is discussed, along with filtering and its relationship to Fourier techniques. Applications considered include score following, automatic music transcription and annotation from audio, musical accompaniment systems, and audio effects.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Brown,TR 1:00PM–2:15PM,8,[],['Technology Generalist'],Hybrid
CSCI-B 561,ADVANCED DATABASE CONCEPTS,3.0,"Database models and systems: especially relational and object-oriented; relational database design theory; structures for efficient data access; query languages and processing; database applications development; views. Transaction management: concurrency and recovery.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,MW 3:00PM–4:15PM,1,[],"['Data Analyst', 'Data Scientist']",Online
CSCI-B 565,DATA MINING,3.0,"Algorithmic and practical aspects of discovering patterns and relationships in large databases. The course also provides hands-on experience in data analysis, clustering and prediction. Topics include: data preprocessing and exploration, data warehousing, association rule mining, classification and regression, clustering, anomaly detection, human factors and social issues in data mining.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Smith,TR 1:00PM–2:15PM,8,[],"['Data Analyst', 'Data Scientist']",In Person
CSCI-B 581,ADVANCED COMPUTER GRAPHICS,3.0,"Introduction to graphics hardware and software. Two-dimensional graphics methods, transformations, and interactive methods. Three-dimensional graphics, transformations, viewing geometry, object modeling and interactive manipulation methods. Basic lighting and shading. Video and animation methods.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,TR 1:00PM–2:15PM,7,[],['Technology Generalist'],Online
CSCI-B 590,TOPICS IN COMPUTER SCIENCE,1.0,"Special topics in computer science.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Patel,MWF 9:00AM–10:15AM,3,[],['Technology Generalist'],In Person
CSCI-B 599,TEACHING IN COMPUTER SCIENCE,1.0,"General principles of teaching and practical experiences that relate to teaching computer science. An important feature of the course is the micro-teaching, in which each participant prepares and delivers short lectures to the seminar participants. Each presentation is followed by critical analysis and discussion.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lee,MW 3:00PM–4:15PM,4,[],['Technology Generalist'],In Person
CSCI-B 609,TOPICS IN ALGORITHMS AND COMPUTING THEORY,1.0,"Special topics in algorithms and computing theory.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MW 3:00PM–4:15PM,2,[],"['IT Support Specialist', 'Tech Consultant']",In Person
CSCI-B 619,TOPICS IN APPLIED LOGIC,1.0,"Special topics in applied logic.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,7,[],['Technology Generalist'],In Person
CSCI-B 622,PROGRAMMING LANGUAGE TYPE SYSTEMS,3.0,"Theoretical foundations and engineering techniques for modern type systems, focusing on polymorphism and subtyping in typed lambda-calculi: applications, including types systems for objects, abstract data types, and modules: issues in type-checker implementation and polymorphic type inference.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Kim,MWF 9:00AM–10:15AM,6,[],"['Software Developer', 'Backend Engineer']",Hybrid
CSCI-B 629,TOPICS IN PROGRAMMING LANGUAGES,1.0,"Special topics in programming languages.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Johnson,MW 3:00PM–4:15PM,1,[],"['Software Developer', 'Backend Engineer']",In Person
